a,b,c,d,e,f,g,hh,i,j
RENEW SOLAR ENERGY JHARKHAND,,,,DELHI,110066,0.1,1,213102116,0313020230_2
VOLGA OVERSEAS PVT LTD,,,,DELHI,110066,0.1,1,213103279,503084662
NAV SHIKHA POLYPACK INDUSTRIES PVT,,,,DELHI,110066,0.1,1,213103390,505093316
BHUSHAN ENERGY PRIVATE LTD.,,,,DELHI,110066,0.1,1,213103446,506069630
BHUSHAN STEEL LIMITED,,,,DELHI,110066,0.1,1,213105050,593012496
BHUSHAN STEEL LIMITED,,,,DELHI,110066,0.1,1,213105050,593012496
CANCO FASTENERS,,,,DELHI,110066,0.1,1,213105083,594074894
GAIL  INDIA  LTD.,,,,DELHI,110066,0.1,1,213105112,597039461
DOLPHIN POD PRIVATE LIMITED,,,,DELHI,110066,0.1,1,213107669,3017503267
GENETREE EBIOLAB,,,,DELHI,110067,0.1,1,213104058,513005129
SWDESH IMPEX,,,,DELHI,110067,0.1,1,213104342,514024071
SWRAJ IMPEX,,,,DELHI,110067,0.1,1,213104351,514027151
MISTHI INTERNATIONAL,,,,DELHI,110067,0.1,1,213104434,514056835
VIKAS PROJECTS PVT LTD,,,,DELHI,110068,0.1,1,213101059,200013815
PROGRESSIVE METERS PVT LTD,,,,DELHI,110068,0.1,1,213101401,214000567
DKC EXPORTS,,,,DELHI,110070,0.1,1,213103219,502019760
DANG TRADING COMPANY PRIVATE LIMITE,,,,DELHI,110070,0.1,1,213103236,502048531
DKC EXPORTS PRIVATE LIMITED,,,,DELHI,110070,0.1,1,213103453,506081460
SHIRAJ INTERNATIONAL,,,,DELHI,110070,0.1,1,213103467,507008243
UNID FLOWERBULBS HOLLAND PVT LTD,,,,DELHI,110070,0.1,1,213103563,508061202
QUASAR ENVIRO SOLUTIONS PRIVATE LTD,,,,DELHI,110070,0.1,1,213103900,511084439
MEDIHELP HEALTHCARE PRIVATE LTD,,,,DELHI,110070,0.1,1,213103924,512000913
DIACOLOR INDIA PRIVATE LIMITED,,,,DELHI,110070,0.1,1,213103971,512043931
KATWARIA SOURCING LLP,,,,DELHI,110070,0.1,1,213104213,513075739
AT HOME INDIA PVT LTD.,,,,DELHI,110074,0.1,1,213103207,501041567
CHEVAS IMPORTS EXPORTS PVT LTD,,,,DELHI,110074,0.1,1,213104154,513050230
TIRUPATI IMPEX PROP ANIL KUMAR AGA,,,,DELHI,110074,0.1,1,213104504,514093889
PRATHEM LINK D2H SERVICES PRIVATE,,,,DELHI,110074,0.1,1,213104769,516903039
ORTECH HEALTHCARE PVT LTD,,,,DELHI,110074,0.1,1,213104967,517541939
DUGAR OVERSEAS PRIVATE LIMITED,,,,DELHI,110074,0.1,1,213105120,597071853
DEEP SIKHA ENTERPRISES,,,,DELHI,110075,0.1,1,213103470,507009479
AGNUS INTERNATIONAL,,,,DELHI,110075,0.1,1,213103626,509032613
GLOBEX OVERSEAS,,,,DELHI,110075,0.1,1,213103627,509033822
PARADISE INTERNATIONAL,,,,DELHI,110075,0.1,1,213104193,513068848
EROS ENTERPRISES,,,,DELHI,110075,0.1,1,213104225,513079874
DOCEANIC DOLPHIN APPARELS PVT LTD,,,,DELHI,110075,0.1,1,213104522,515003760
IADEPT MARKETING,,,,DELHI,110075,0.1,1,213104726,515933724
JIAANSH IMPEX LLP,,,,DELHI,110075,0.1,1,213104758,516518003
BABA PAINTS,,,,DELHI,110075,0.1,1,213104787,516917943
ORANGE SUVAAN ENERGY PVT LTD,,,,DELHI,110075,0.1,1,213104875,516974696
PEGASUS CREST INTERNATIONAL,,,,DELHI,110075,0.1,1,213109683,AAKCP3299H
FLASHWAY IMPEX PRIVATE LIMITED,,,,DELHI,110076,0.1,1,213103546,508034183
SKYLARK INTERNATIONAL,,,,DELHI,110076,0.1,1,213104061,513006265
CONTAINER CORPORATION OF INDIA LTD.,,,,DELHI,110076,0.1,1,213105130,598022643
SINGH OVERSEAS,,,,DELHI,110077,0.1,1,213104214,513075836
SHREE SHYAM ELECTRONICS,,,,DELHI,110077,0.1,1,213104302,514010339
SHANAYA ENTERPRISES,,,,DELHI,110077,0.1,1,213104628,515052850
VIRSANSHU ENGITECH PVT LTD,,,,DELHI,110077,0.1,1,213104752,516511327
CYPRESS ENGINEERING SOLUTIONS,,,,DELHI,110077,0.1,1,213104754,516514822
HIMGIRI INTERNATIONAL,,,,DELHI,110077,0.1,1,213104934,517512335
ANUQUEST APPAREL PRIVATE,,,,DELHI,110077,0.1,1,213109921,AAUCA0581H
INNOX IMPEX PRIVATE LIMITED,,,,DELHI,110078,0.1,1,213101694,305066803
TD APPARELS,,,,DELHI,110078,0.1,1,213104032,512086940
SUSTAINABLE ENGINEERING,,,,DELHI,110078,0.1,1,213104106,513026606
AMBRO ASIA PVT LTD,,,,DELHI,110078,0.1,1,213104205,513073205
DIKSHA EXPORTS,,,,DELHI,110078,0.1,1,213104540,515015521
RIGEL INDIA PRIVATE LIMITED,,,,DELHI,110078,0.1,1,213104676,515080268
ADVANCED HEALTHCARE MACHINES PRIVAT,,,,DELHI,110078,0.1,1,213104794,516921525
J K COMPUTERS,,,,DELHI,110081,0.1,1,213104050,513000062
SPICK TRADING INDIA PRIVATE L,,,,DELHI,110081,0.1,1,213104689,515904236
HYANCE ELECTRIC PRIVATE LIMITED,,,,DELHI,110081,0.1,1,213104948,517528843
HONSBERG SAWS INDIA PVT LTD,,,,DELHI,110083,0.1,1,213103553,508045444
LEDURE LIGHTINGS,,,,DELHI,110083,0.1,1,213104267,513094474
SINGHI CYCLE IMPORT EXPORT,,,,DELHI,110084,0.1,1,213103878,511060807
TUSCOR INTERNATIONAL LLP,,,,DELHI,110084,0.1,1,213104055,513004483
AGGARWAL INTERNATIONAL,,,,DELHI,110084,0.1,1,213104430,514054191
STAR GLAXY IMPEX,,,,DELHI,110084,0.1,1,213104445,514063025
FENESTRATION TECHNOLOGIES,,,,DELHI,110084,0.1,1,213104477,514078561
GARGI TRADERS,,,,DELHI,110084,0.1,1,213104872,516973142
TANISHKA SALES AND SERVICES,,,,DELHI,110084,0.1,1,213104911,516995685
VSCT TRADING SOLUTIONS OPC PVT LTD,,,,DELHI,110084,0.1,1,213109508,AAGCV3870Q
DAWAR ENTERPRISES,,,,DELHI,110084,0.1,1,213110253,AFFPD7335H
POTENT WATER CARE CARE PVT LTD,,,,DELHI,110085,0.1,1,213103255,503017311
KRISHNA LEATHERS,,,,DELHI,110085,0.1,1,213103273,503060542
SAFFRON SAI IMPEX,,,,DELHI,110085,0.1,1,213103310,504062905
JUPITER SALES CORPORATION,,,,DELHI,110085,0.1,1,213103412,506030610
V I P SALES,,,,DELHI,110085,0.1,1,213103417,506035719
VAIBHAW IMPORT,,,,DELHI,110085,0.1,1,213103428,506053491
GROW MAX INDIA PVT LTD,,,,DELHI,110085,0.1,1,213103471,507010531
GEEPAX,,,,DELHI,110085,0.1,1,213103480,507026845
GANGA SAGAR PETROCHEM INC,,,,DELHI,110056,0.1,1,213104460,514067667
PES INSTALLATIONS PVT LTD,,,,DELHI,110056,0.1,1,213105094,595057561
GP GLOBAL ASPHALT PRIVATE LIMITED,,,,DELHI,110057,0.1,1,213103829,511017286
YARROW INFRASTRUCTURE PRIVATE,,,,DELHI,110057,0.1,1,213104889,516980971
BARSYS INDIA PRIVATE LIMITED,,,,DELHI,110057,0.1,1,213104919,517500086
INDO PACIFIC AVIATION LIMITED,,,,DELHI,110057,0.1,1,213105121,597073244
DEEPAKSHI DISPLAY DEVICES  P  LTD,,,,DELHI,110058,0.1,1,213103231,502039761
S.V.INCORPORATION,,,,DELHI,110058,0.1,1,213103346,505041693
TRANS ASIA MEDI-HEALTH CARE  P  LTD,,,,DELHI,110058,0.1,1,213103392,505095513
RAJSONS IMPEX PRIVATE LIMITED,,,,NOIDA,201301,0.1,1,213103365,505065002
FAAC INDIA PRIVATE LIMITED,,,,NOIDA,201301,0.1,1,213103370,505068753
MEHAK EXPORTS,,,,NOIDA,201301,0.1,1,213103382,505087367
MAHAVIRA COLLECTIONS PVT LTD,,,,NOIDA,201301,0.1,1,213103409,506028739
DIGITALS INDIA SECURITY PRODUCTS P LTD,,,,NOIDA,201301,0.1,1,213103477,507023382
SSMP INDUSTRIES LIMITED,,,,NOIDA,201301,0.1,1,213103503,507061799
AKS INFORMATION TECHNOLOGY SERVICES,,,,NOIDA,201301,0.1,1,213103508,507074688
ESTEEM PROJECTS PRIVATE LIMITED,,,,NOIDA,201301,0.1,1,213103511,507078837
SPICE DISTRIBUTION LIMITED,,,,NOIDA,201301,0.1,1,213103539,508024251
I TEL INDIA PRIVATE LIMITED,,,,NOIDA,201301,0.1,1,213103634,509042601
NATIONAL HYDRAULICS,,,,NOIDA,201301,0.1,1,213103648,509049915
AT INTERNATIONAL,,,,NOIDA,201301,0.1,1,213103666,509075533
OM SAI TOOLING SOLUTIONS,,,,NOIDA,201301,0.1,1,213103691,510007996
IMPULSION FASHION,,,,NOIDA,201301,0.1,1,213103704,510016227
CAN FASHION PVT LTD,,,,NOIDA,201301,0.1,1,213103824,511014660
AERO PRODUCTS INDIA,,,,NOIDA,201301,0.1,1,213103843,511024525
LUCRATIVE FASTENERS,,,,NOIDA,201301,0.1,1,213103867,511051417
AMS THERMO SENSOR,,,,NOIDA,201301,0.1,1,213103895,511080093
SPRING ENTERPRISES,,,,NOIDA,201301,0.1,1,213103910,511090501
ENCOTEC ENERGY INDIA PVT LTD,,,,NOIDA,201301,0.1,1,213103953,512025908
KAHO,,,,NOIDA,201301,0.1,1,213104005,512068488
ENERTIA,,,,NOIDA,201301,0.1,1,213104006,512070997
SNSGAP INTERNATIONAL SERVICE PVT LTD,,,,NOIDA,201301,0.1,1,213104056,513004599
AAKRITI ART GLASSES,,,,NOIDA,201301,0.1,1,213104081,513014721
DEEASH CREATIONS,,,,NOIDA,201301,0.1,1,213104159,513052356
SSSR ENTERPRISES,,,,NOIDA,201301,0.1,1,213104166,513057307
R S GARMENTS INC,,,,NOIDA,201301,0.1,1,213104260,513091076
DIGITAL ELECTRONICS,,,,NOIDA,201301,0.1,1,213104264,513093281
P K S CITY PROJECT PRIVATE LIM,,,,NOIDA,201301,0.1,1,213104282,514002930
SAI GCM INDIA PRIVATE LIMITED,,,,NOIDA,201301,0.1,1,213104309,514011939
RAINBOW TECH SOLUTION,,,,NOIDA,201301,0.1,1,213104334,514021373
SHIVALIK ENTERPRISES,,,,NOIDA,201301,0.1,1,213104386,514037318
MAHAMAYA ENTERPRISES,,,,NOIDA,201301,0.1,1,213104392,514038993
PRAGNAYA ENTERPRISES,,,,NOIDA,201301,0.1,1,213104394,514039621
RED ORCHID SUPPLY PVT LTD,,,,NOIDA,201301,0.1,1,213104401,514042265
GOLDEN TRENDS PVT LTD,,,,NOIDA,201301,0.1,1,213104468,514072369
REGENCY EXPORTS,,,,NOIDA,201301,0.1,1,213104482,514080027
MAXPRIDE INDIA RUBBER PVT LTD,,,,NOIDA,201301,0.1,1,213104498,514086106
ASTOL CLEANTECH PRIVATE LIMITED,,,,NOIDA,201301,0.1,1,213104543,515016357
ITZU INTERNATIONAL,,,,NOIDA,201301,0.1,1,213104645,515059030
POWERFUL TECHNOLOGIES PVT LTD,,,,NOIDA,201301,0.1,1,213104683,515901580
H.Q LAMPS MANUFACTURING CO PRIVATE,,,,NOIDA,201301,0.1,1,213104692,515905305
TIANYIN WORLDTECH INDIA PRIVATE LTD,,,,NOIDA,201301,0.1,1,213104694,515907871
PURPLE SEAS SPORTS AND TECHNOLOGY,,,,NOIDA,201301,0.1,1,213104696,515910759
S MOBILE DEVICES LTD,,,,NOIDA,201301,0.1,1,213104717,515929409
SMART DREAMS PRIVATE LIMITED,,,,NOIDA,201301,0.1,1,213104774,516905597
HOTSPOT SALES SOLUTIONS PVT LTD,,,,NOIDA,201301,0.1,1,213104807,516928457
AETHON INTERNATIONAL LLP,,,,NOIDA,201301,0.1,1,213104808,516929798
SOLAR SOLUTIONS INDIA,,,,NOIDA,201301,0.1,1,213104845,516952111
S S INSTRUMENTS INC,,,,NOIDA,201301,0.1,1,213104865,516968165
RICCHEZZA TRADING PRIVATE LIMITED,,,,NOIDA,201301,0.1,1,213104871,516973061
RAMA CELEBRATIONS HOSPITALITY LLP,,,,NOIDA,201301,0.1,1,213104942,517519979
LIMRA ENTERPRISES,,,,NOIDA,201301,0.1,1,213104970,517544466
POOJA INTERNATIONAL,,,,NOIDA,201301,0.1,1,213104981,588018147
LA GALLERIA,,,,NOIDA,201301,0.1,1,213105010,588144436
NEPTUNE  INDIA  LTD,,,,NOIDA,201301,0.1,1,213105016,589008536
ADROITEC INFORMATION SYSTEMS PVT,,,,NOIDA,201301,0.1,1,213105019,589017586
CAPITAL METERS,,,,NOIDA,201301,0.1,1,213105054,593036425
M D EQUIPMENTS PVT LTD,,,,NOIDA,201301,0.1,1,213105059,593068378
CAPITAL POWER SYSTEMS,,,,NOIDA,201301,0.1,1,213105092,595041582
BANGA ELECTRONICS,,,,NOIDA,201301,0.1,1,213105107,597010501
GO IP GLOBAL SERVICES PVT LTD,,,,NOIDA,201301,0.1,1,213105113,597042471
SPICE DIGITAL LIMITED,,,,NOIDA,201301,0.1,1,213106993,2204000582
INOX WIND LIMITED,,,,NOIDA,201301,0.1,1,213107021,2209000939
NEO MAGIC SEMICONDUCTOR INDIA PVT. LTD.,,,,NOIDA,201301,0.1,1,213108522,5198000604
COZICOUTRE EXPORT PVT LTD,,,,NOIDA,201301,0.1,1,213109543,AAHCC1369C
PRACTIDESK SOLUTIONS INDIA,,,,NOIDA,201301,0.1,1,213109909,AATFP1583E
KABANA ENTERPRISES,,,,NOIDA,201301,0.1,1,213110347,AIZPV5924F
OJAS STYLE,,,,NOIDA,201301,0.1,1,213110859,GLEPS1579D
LAVA INTERNATIONAL LIMITED,,,,NOIDA,201303,0.1,1,213103596,509008968
AASTHA INTERNATIONAL,,,,NOIDA,201303,0.1,1,213103759,510066020
SHREY OVERSEAS,,,,NOIDA,201303,0.1,1,213104143,513044876
ALICE BIOTECH PRIVATE LIMITED,,,,NOIDA,201303,0.1,1,213104182,513062785
MILAN IMPEX,,,,NOIDA,201303,0.1,1,213105148,599018623
KANPUR FERTILIZERS AND CEMENT LIMITED,,,,NOIDA,201304,0.1,1,213103849,511032773
NIDHI AUTO PRIVATE LIMITED,,,,NOIDA,201305,0.1,1,213103291,504030540
DONEX INDUSTRIES LIMITED,,,,NOIDA,201305,0.1,1,213103439,506064034
EXCEL GREENTECH PVT LTD,,,,NOIDA,201305,0.1,1,213104010,512072914
M3S MOBILITY LLP,,,,NOIDA,201305,0.1,1,213104705,515918474
ZEUS FASHIONS,,,,NOIDA,201305,0.1,1,213104893,516984322
DIXON TECHNOLOGIES INDIA LIMITED,,,,NOIDA,201305,0.1,1,213105053,593020219
PERFECTION HANDICRAFT,,,,GAUTHAM  BUDH NAGAR,201306,0.1,1,213103356,505051320
METAFLEX DOORS INDIA PVT LTD,,,,GAUTHAM  BUDH NAGAR,201306,0.1,1,213103463,507003071
AUTO INDUSTRIES,,,,GAUTHAM  BUDH NAGAR,201306,0.1,1,213103964,512034231
E PACK POLYMERS PRIVATE LIMITED,,,,GAUTHAM  BUDH NAGAR,201306,0.1,1,213105151,599025425
RUBICON SOLUTIONS,,,,GAUTHAM  BUDH NAGAR,201306,0.1,1,213109965,AAWFR9400P
OPTIEMUS INFRACOM LTD,,,,NOIDA,201307,0.1,1,213103806,510099203
E PACK DURABLES SOLUTIONS,,,,NOIDA,201307,0.1,1,213107337,2905002654_1
SAMPARK INDUSTRIES LIMITED,,,,GAUTHAM  BUDH NAGAR,201308,0.1,1,213103208,501044281
AADI FASHION,,,,GAUTHAM  BUDH NAGAR,201308,0.1,1,213103318,504081721
CREATICA OFFICE SYSTEM,,,,GAUTHAM  BUDH NAGAR,201308,0.1,1,213103771,510073247
NAREENA LIFESCIENCES PVT LTD,,,,GAUTHAM  BUDH NAGAR,201308,0.1,1,213104584,515033995
JAYANITA,,,,GAUTHAM  BUDH NAGAR,201308,0.1,1,213104983,588024104
JAYANITA EXPORTS PVT LTD,,,,GAUTHAM  BUDH NAGAR,201308,0.1,1,213105018,589015818
EMTEX MANUFACTURING,,,,GAUTHAM  BUDH NAGAR,201308,0.1,1,213110106,ABPPS7881R
ORAS L ITALIANO,,,,GAUTHAM  BUDH NAGAR,201309,0.1,1,213103664,509072631
S G EDGE,,,,GAUTHAM  BUDH NAGAR,201309,0.1,1,213104233,513082271
ICTI TECHNOLOGIES PRIVATE LIMITED,,,,GAUTHAM  BUDH NAGAR,201309,0.1,1,213104921,517502011
ANNPURNA TRADERS,,,,ETAWAH,206001,0.1,1,213105230,610009362
SWADESHI CHEMICAL INDUSTRIES,,,,KANPUR,208001,0.1,1,213105170,601002091
DNS AUTOMOTIVE PRIVATE LIMITED,,,, MUMBAI MAHARASHTRA ,.,0.1,1,213109327,AAECD8891M
EKYA TECHNOSOFT PRIVATE LIMITED,,,,BANGALORE KARNATAKA ,.,0.1,1,213109328,AAECE2388L
EVERSMART AUTOMATION PRIVATE LIMITE,,,,A AHMEDABAD GUJARAT ,.,0.1,1,213109329,AAECE4523B

