B,BNNB,NBNB,NBNB,C,D,NBNB,NBNB,FF,A
RESERVE BANK INFORMATION TECHNOLOGY PVT LTD,,,,THANE,400706,0.1,1,212505691,305
ANDHRA PRADESH  MEDTECH ZONE LIMITED,,,,VISAKHAPATANAM,530031,0.1,1,212505690,306
SIMBA LOGISTICS PRIVATE LTD.,,,,NEW DELHI,110019,0.1,1,212505689,307
LATRO IRRIGATION,,,,CHENNAI,600082,0.1,1,212505688,308
GENEX FACILITY MANAGEMENT SOLUTIONS PRIVATE LIMITED,,,,GURGAON,122016,0.1,1,212505687,309
KALYAN JEWELLERS INDIA LIMITED,,,,THRISSUR,680002,0.1,1,212505686,310
DATAFLIX TECHNOLOGIES PRIVATE LIMITED,,,,HYDERABAD ,500081,0.1,1,212505685,311
PSR DIAGNOSTIC PVT LTD,,,,ROHINI,110085,0.1,1,212505684,312
LENZE MECHATRONICS PRIVATE LIMITED,,,,PUNE,410505,0.1,1,212505683,313
NATCO PHARMA LIMITED,,,,HYDERABAD ,500033,0.1,1,212505682,314
ESCAPE VELOCITY DIGITAL PVT LTD,,,,HYDERABAD ,500033,0.1,1,212505681,315
WISETR TECHNOLOGY PRIVATE LIMITED,,,,NEW DELHI,110005,0.1,1,212505680,316
ACE FACILITY MANAGEMENT PVT LTD,,,,DELHI,110044,0.1,1,212505679,317
SUNRISE ENTERPRISES,,,,PUNE,411019,0.1,1,212505678,318
YSECIT SOFTWARES INDIA PRIVATE LIMITED,,,,BANGALORE,560100,0.1,1,212505677,319
CANOPYONE IT SOLUTIONS INDIA PRIVATE LIMITED,,,, HYDERABAD ,500081,0.1,1,212505676,320
R K CLEARING PVT LTD,,,,NEW DELHI,110065,0.1,1,212505715,321
R K CLEARING PVT LTD,,,,NEW DELHI,110065,0.1,1,212505714,322
RANDSTAD INDIA PVT LTD,,,,CHENNAI,600006,0.1,1,212505713,323
NET2SOURCE CONSULTING LTD,,,,NOIDA,201301,0.1,1,212505712,324
MOWEB TECHNOLOGIES PVT LTD,,,,AHMEDABAD,380009,0.1,1,212505711,325
SHREEJI PRINTS PVT LTD,,,,SURAT,394221,0.1,1,212505710,326
NSTARX INDIA PRIVATE LIMITED,,,, HYDERABAD ,500081,0.1,1,212505709,327
SCHUECO INDIA PRIVATE LIMITED,,,,MUMBAI,400076,0.1,1,212505708,328
TABOOLA INDIA PRIVATE LIMITED,,,,NEW DELHI,110001,0.1,1,212505707,329
INNOVACX TECH LABS PRIVATE LIMITED,,,, HYDERABAD ,500032,0.1,1,212505706,330
HEIGHT 8 TECHNOLOGIES PVT LTD,,,,AHMEDABAD,380009,0.1,1,212505705,331
PROCHANT INDIA PRIVATE LTD,,,,CHENNAI,600089,0.1,1,212505704,332
MARSH MCLENNAN GLOBAL SERVICES INDIA PRIVATE LIMITED,,,,MUMBAI,400076,0.1,1,212505703,333
PEOPLE FOR ACTION,,,,NEW DELHI,110017,0.1,1,212505702,334
OFFSHORE HCL GLOBALSYSTEMS INDIA PRIVATELIMITED,,,, HYDERABAD,500038,0.1,1,212505701,335
ROCKWELL AUTOMATION INDIA PVT LTD,,,,GHAZIABAD,201010,0.1,1,212505700,336
BHARAT FRITZ WERNER LTD,,,,BANGALORE,560022,0.1,1,212505699,337
ENSONO TECHNOLOGIES LLP,,,,PUNE,411057,0.1,1,212505698,338
KIRBY BUILDING SYSTEMS & STRUCTURES INDIA PRIVATE LIMITED,,,,MEDAK ,502307,0.1,1,212505697,339
MASSIL TECHNOLOGIES PRIVATELIMITED,,,,RANGAREDDY,500039,0.1,1,212505696,340
M/S ONIX ENCLAVES PVT. LTD.,,,,MUMBAI,400101,0.1,1,212506995,341
M/S ISHITA CONSTRUCTION,,,,KANPUR,208025,0.1,1,212506994,342
M/S UPADHYAY CONSTRUCTION PVT. LTD.,,,,GHAZIABAD,201002,0.1,1,212506993,343
M/S ELEVENTURE SYSTEMS & SERVICES PRIVATE LIMITED,,,,GURGAON,122002,0.1,1,212506992,344
SRI CHAKRA CEMENT LTD,,,,GUNTUR,522614,0.1,1,212506991,345
GVS PROJECTS PVT LTD,,,,KRISHNA,520008,0.1,1,212506990,346
PRAG JYOTI SYNTEX LTD,,,,ALWAR,301019,0.1,1,212506989,347
ABHINANDAN EXPORTS LTD,,,,ALWAR,301019,0.1,1,212506988,348
DIFFERENT GARMENTS PVT LTD,,,,LUDHIANA,141008,0.1,1,212506987,349
UNIVERSAL FORCES INDUSTRIES,,,,PUNE,411062,0.1,1,212506986,350
ATS CARGO PRIVATE LIMITED,,,,THANE,400603,0.1,1,212506985,351
TPM DEPOT,,,,PUNE,410501,0.1,1,212506984,352
SHRUTHI GS,,,,SHIMOGA,577222,0.1,1,212506983,353
B SHIVANANDA,,,,SHIMOGA,577216,0.1,1,212506982,354
SUPREME CHEMICAL INDUSTRIES,,,,HYDERABAD,500026,0.1,1,212506981,355
SHRI RADHE RADHE STONE CRUSHER,,,,BHARATPUR,321001,0.1,1,212506980,356
"THE PRESIDENT OF INDIA,COMMISSIONER OF CUSTOMS C/O INDIAN SILK FIBRE CO",,,,BANGALORE,560043,0.1,1,212506979,357
CHEMIKER PHARMACEUTICALS PVT LTD,,,,NAGPUR,441122,0.1,1,212506978,358
REAL TECHNO ENERGY AND GAS PVT LTD,,,,FARIDABAD,121003,0.1,1,212506977,359
GEPDEC INFRATECH LIMITED,,,,GAUTAM BUDH NAGAR,201307,0.1,1,212506976,360
ADIOS CONCEPT PRIVATE LIMITED,,,,KANPUR,208001,0.1,1,212506975,361
MR DHANARAJ FAKIRA TARU,,,,JALNA,431114,0.1,1,212506974,362
MR VASANT VAIJAYNATH GITTE,,,,BEED,431530,0.1,1,212506973,363
TIRUPATI TECHNICAL SERVICES PVT. LTD,,,,RANCHI,835103,0.1,1,212506972,364
M/S DATUM TECHNOLOGIES,,,,NOIDA,201301,0.1,1,212506971,365
PROCUREBAY PRIVATE LIMITED,,,,JAIPUR,302033,0.1,1,212506970,366
SURFACE GRANITE,,,,SABARKANTHA,383030,0.1,1,212506969,367
DEVANGI POWER PRIVATE LIMITED,,,,SURAT,395006,0.1,1,212506968,368
HEMANT KUMAR SINGHDEO,,,,SINGHBHUM,831002,0.1,1,212506967,369
FACAADE,,,,SURAT,394510,0.1,1,212506966,370
PRESIDENT OF INDIA THROUGH COMMISSIONER OF CUSTOMS A/C SAPPHIRE SPIRITS,,,,NEW DELHI,110091,0.1,1,212506965,371
STORELEAF PVT LTD.,,,,AHMEDABAD,380018,0.1,1,212506964,372
SK ENTERPRISES,,,,CHITRAKOOT DHAM (KARWI),210205,0.1,1,212506963,373
BAJAJ ELECTRICALS LTD. AND NMDC LIMITED,,,,MUMBAI,400022,0.1,1,212506962,374
ZION ENGINEERING WORKS (UNIT-2),,,,VADODARA,391775,0.1,1,212506961,375
JEEVAKA INDUSTRIES PVT LTD,,,,HYDERABAD,502296,0.1,1,212506960,376
MR MOTE JANBA RAMAKISAN,,,,BEED,431127,0.1,1,212506959,377
SATEESH KUMAR,,,,SEHORE,466448,0.1,1,212506958,378
M/S AADI KNT FAB,,,,LUDHIANA,141001,0.1,1,212506957,379
HARISHARNAM TRADE LINKS PVT LTD,,,,AURANGABAD,431001,0.1,1,212506956,380
VASSAR LABS IT SOLUTIONS PVT LTD,,,,VISAKHAPATANAM,530013,0.1,1,212507415,381
TRANSCON INDUSTRIES,,,,HYDERABAD,500037,0.1,1,212507414,382
SK LUBRICANTS & OILS INDIA PRIVATE LIMITED,,,,GURGAON,122002,0.1,1,212507413,383
CHAMUNDA EQUIPMENT,,,,VADODARA,390010,0.1,1,212507412,384
AXCESS TECH SYSTEMS INDIA PRIVATE LIMITED,,,,BANGALORE,560066,0.1,1,212507411,385
M/S TNST COMPONENT INDIA PVT LTD,,,,GAUTAM BUDH NAGAR,201305,0.1,1,212507410,386
APL INTERNATIONAL PRIVATE LIMITED,,,,INDORE,452001,0.1,1,212507409,387
MERRY TIME CREAM FOODS PVT LTD,,,,MALAPPURAM,673635,0.1,1,212507408,388
V3 STAFFING SOLUTIONS INDIA PRIVATE LIMITED,,,,HYDERABAD,500034,0.1,1,212507407,389
VSOFT CONSULTING CORPORATION PVT LTD,,,,HYDERABAD,500033,0.1,1,212507406,390
NIKKAMAL JEWELLERS PVT LTD,,,,LUDHIANA,141001,0.1,1,212507405,391
AASTHA TRAVELS PVT LTD,,,,NEW DELHI,110006,0.1,1,212507404,392
MAYANK SHARMA ENTERPRISE PVT LTD,,,,JAIPUR,302027,0.1,1,212507403,393
GLOBAL INFOVISION PVT LTD,,,,HYDERABAD,500873,0.1,1,212507402,394
SSK BIOSCIENCES PRIVATE LIMITED,,,,HYDERABAD,500010,0.1,1,212507401,395
PIOMA INDUSTRIES PVT LTD,,,,AHMEDABAD,380006,0.1,1,212507400,396
GENETEC LIFESCIENCES,,,,MUMBAI,400080,0.1,1,212507399,397
COGNIZER INDIA PVT LTD,,,,BANGALORE,560103,0.1,1,212507398,398
TEXT2WORLD SERVICES INDIA PRIVATE LIMITED,,,,THANE,401107,0.1,1,212507397,399
DOT WORKPLACE SOLUTIONS PRIVATE LIMITED,,,,BANGALORE,560038,0.1,1,212507396,400
WHITE GLOVES FACILITY SERVICES PVT LTD,,,,MUMBAI,400072,0.1,1,212507429,401
PERVEZ NARIMAN DANDIWALA,,,,GURGAON,122002,0.1,1,212507428,402
SECURE NETWORK SOLUTIONS INDIA PVT LTD,,,,CHENNAI,600034,0.1,1,212507427,403
OPLUS R&D CENTER PVT LTD,,,,HYDERABAD,500032,0.1,1,212507426,404
EMPILER PROJECTS PVT LTD,,,,HYDERABAD,500089,0.1,1,212507425,405
EVOLUTIS INDIA PVT LTD,,,,MUMBAI,400080,0.1,1,212507424,406
ACE FACILITY MANAGEMENT PVT LTD,,,,DELHI,110044,0.1,1,212507423,407
ABLE SAFE SOLUTIONS,,,,BANGALORE,560079,0.1,1,212507422,408
TAIYOU AUTOMATION PVT LTD,,,,TIRUVALLUR,600058,0.1,1,212507421,409
DEVOZION HEALTHCARE PRIVATE LIMITED,,,,LUCKNOW,226016,0.1,1,212507420,410
D V G TECH SOLUTIONS PRIVATE LIMITED,,,,HYDERABAD,500033,0.1,1,212507419,411
MIYAMOTO BIM & ENGINEERING PVT LTD,,,,GURGAON,122018,0.1,1,212507418,412
WDTS INDIA PRIVATE LIMITED,,,,GURGAON,122015,0.1,1,212507417,413
S3 GROUP INDIA LIMITED LIABILITY PARTNERSHIP,,,,BANGALORE,560078,0.1,1,212507416,414
SOULPAGE IT SOLUTIONS PRIVATE LIMITED,,,, HYDERABAD,500072,0.1,1,212506935,415
KUMOLUS INDIA PVT LTD,,,,PUNE,411014,0.1,1,212506934,416
VARDHMAN TEXTILES LIMITED,,,,LUDHIANA ,141001,0.1,1,212506933,417
SAHYOG JANKALYAN SAMITI,,,,KANPUR,208005,0.1,1,212506932,418
SCI EDGE ABSTRACTS,,,,PUNE,411041,0.1,1,212506931,419
KUMOLUS INDIA PVT LTD,,,,PUNE,411014,0.1,1,212506930,420
HARRO HOEFLIGER PACKAGING SYSTEMS PRIVATE LIMITED,,,,BANGALORE,560024,0.1,1,212506929,421
DCX CABLE ASSEMBLIES PVT LTD.,,,,BANGALORE,562110,0.1,1,212506928,422
TVS CREDIT SERVICES LTD,,,,CHENNAI,600031,0.1,1,212506927,423
ARES VISUAL EFFECTS STUDIO PVT. LTD,,,,LUCKNOW,226012,0.1,1,212506926,424
CHUBB ALBA CONTROL SYSTEMS LIMITED,,,,BANGALORE,560029,0.1,1,212506925,425
GODI INDIA PVT LTD,,,,HYDERABAD,500032,0.1,1,212506924,426
ACCURATE SALES AND SERVICES PRIVATE LIMITED,,,,PUNE,411013,0.1,1,212506923,427
DATABRIDGE MARKET RESEARCH PRIVATE LIMITED,,,,PUNE,411028,0.1,1,212506922,428
SIM TECHNOLOGIES PVT LTD,,,,CHENNAI,600032,0.1,1,212506921,429
SREE SANNIDI ASSOCIATES,,,,HYDERABAD,500062,0.1,1,212506920,430
TRANS UNION SOFTWARE SERVICES PVT LTD,,,,MUMBAI,400013,0.1,1,212506919,431
ASP OLMEDIA PRIVATE LIMITED,,,,PUNE,411028,0.1,1,212506918,432
PRACTICE STRATEGIC COMMUNICATIONS INDIA PVT LTD,,,,BANGALORE,560038,0.1,1,212506917,433
OLDMED HEALTHCARE PRIVATE LIMITED,,,,LUCKNOW,226012,0.1,1,212506916,434
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507361,435
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507360,436
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507359,437
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507358,438
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507357,439
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507356,440
M/S ELEVENTURE SYSTEMS & SERVICES PRIVATE LIMITED,,,,GURGAON,122002,0.1,1,212507368,441
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507367,442
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507366,443
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507365,444
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507364,445
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507363,446
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507362,447
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507375,448
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507374,449
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507373,450
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507372,451
GUJARAT ENERGY TRANSMISSION CORPORATION LTD,,,,SURAT,395006,0.1,1,212507371,452
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507370,453
SUZLON GUJARAT WIND PARK LIMITED,,,,PUNE,411028,0.1,1,212507369,454
INTOX PVT LTD,,,,PUNE,412115,0.1,1,212505875,455
SPA YOGA PVT LTD,,,,NEW DELHI,110029,0.1,1,212505874,456
SENDHAMARAI ENGINEERING PVT LTD,,,,CHENNAI,600116,0.1,1,212505873,457
SUNCITY PROJECTS PVT. LTD.,,,,GURGAON,122002,0.1,1,212505872,458
MSB DIGITAL PRIVATE LIMITED,,,,CHANDIGARH,160002,0.1,1,212505871,459
WDTS INDIA PRIVATE LIMITED,,,,GURGAON,122015,0.1,1,212505870,460
INFOKRAFTS DATA CONSULTANCY SERVICES PRIVATE LTD,,,,MUMBAI,400093,0.1,1,212505869,461
MXP MEDIA INDIA LTD,,,,MUMBAI,400093,0.1,1,212505868,462
CALIBER OUTSOURCING SERVICES,,,,NEW DELHI,110048,0.1,1,212505867,463
AMNEAL PHARMACEUTICALS PRIVATE LIMITED,,,,AHMEDABAD,382220,0.1,1,212505866,464
RAKSHA TECHNOLOGIES PVT LTD,,,,CHENNAI,600020,0.1,1,212505865,465
ARTIZEN INTERIORS PVT LTD,,,,BANGALORE,560043,0.1,1,212505864,466
RESERVE BANK INFORMATION TECHNOLOGY PVT LTD,,,,THANE,400703,0.1,1,212505863,467
SESHASAYEE PAPER AND BOARDS LTD,,,,ERODE,638007,0.1,1,212505862,468
MEDHAJ TECHNO CONCEPT PRIVATE LIMITED,,,,LUCKNOW,226012,0.1,1,212505861,469
ONE COM INDIA PVT LTD,,,,GURGAON,122002,0.1,1,212505860,470
SAND MARTIN CONSULTANTS PVT LTD.,,,,GAUTAM BUDH NAGAR,201301,0.1,1,212505859,471
CARE FUSION DEVELOPMENT PRIVATE LIMITED,,,,CHANDIGARH,160101,0.1,1,212505858,472
SAKTHI SUGARS LIMITED,,,,COIMBATORE,641018,0.1,1,212505857,473
PAYPAL INDIA PRIVATE LIMITED,,,,KANCHIPURAM,600119,0.1,1,212505856,474
MAYFAIR CONSULTANCY SERVICES INDIA PVT LTD,,,,BANGALORE,560100,0.1,1,212505855,475
STEEPGRAPH SYSTEMS PVT LTD,,,,PUNE,411057,0.1,1,212505854,476
TOSHVIN ANALYTICAL PVT LTD,,,,MUMBAI,400013,0.1,1,212505853,477
TC TOURS LTD,,,,MUMBAI,400013,0.1,1,212505852,478
ILENSYS TECHNOLOGIES PRIVATE LTD,,,,HYDERABAD,500034,0.1,1,212505851,479
ASCENTX SOFTWARE DEVELOPMENT SERVICES PVT. LTD.,,,,CHANDIGARH,160002,0.1,1,212505850,480
LIGARE AVIATION LIMITED,,,,NEW DELHI,110010,0.1,1,212505849,481
JET SERVE AVIATION PRIVATE LIMITED,,,,GURGAON,122004,0.1,1,212505848,482
FIREPRO SYSTEMS PRIVATE LIMITED,,,,BANGALORE,560008,0.1,1,212505847,483
FIREPRO SYSTEMS PRIVATE LIMITED,,,,BANGALORE,560008,0.1,1,212505846,484
M/S DALMIA CEMENT BHARAT LTD,,,,MEDINIPUR,721129,0.1,1,212505845,485
SIFY INFINIT SPACES LIMITED,,,,CHENNAI,600113,0.1,1,212505844,486
JWIL INFRA LTD,,,,KANCHIPURAM,603110,0.1,1,212505843,487
KEC INTERNATIONAL LTD,,,,MUMBAI,400030,0.1,1,212505842,488
KEC INTERNATIONAL LTD,,,,MUMBAI,400030,0.1,1,212505841,489
HFCL LIMITED,,,,NEW DELHI,110048,0.1,1,212505840,490
M/S ASSOCIATED POWER STRUCTURE PVT. LTD. M/S STERLITE POWER TRANSMISSION LIMITED & M/S LAKADIA-VADODARA TRANSMISSION PROJECT LIMITED,,,,VADODARA,390010,0.1,1,212505839,491
SIFY INFINIT SPACES LIMITED,,,,THANE,400606,0.1,1,212505838,492
JINDAL STAINLESS LIMITED,,,,NEW DELHI,110066,0.1,1,212505837,493
UNIQUE STRUCTURES & TOWERS LTD,,,,DURG,490026,0.1,1,212505836,494
BAJAJ ELECTRICALS LTD CO-INSURED NTPC LIMITED,,,,MUMBAI,400022,0.1,1,212505835,495
GARIMA STHAPATYA PVT LTD,,,,RAJKOT,360001,0.1,1,212505834,496
M/S DALMIA CEMENT BHARAT LTD,,,,MEDINIPUR,721129,0.1,1,212505833,497
SAINKO SYSTEMS,,,,DEHRADUN,248001,0.1,1,212505832,498
CITIZEN INDUSTRIES,,,,AHMEDABAD,382330,0.1,1,212505831,499
M/S ASOPALAV GARDEN CONSULTANT,,,,GANDHINAGAR,382006,0.1,1,212505830,500
M/S RAJINDER INFRASTRUCTURE PVT LTD,,,,CHANDIGARH,160027,0.1,1,212505829,501
EMERALD HAVEN TOWN AND COUNTRY PRIVATE LIMITED,,,,CHENNAI,600018,0.1,1,212505828,502
SILPA PROJECTS AND INFRASTRUCTURE INDIA PVT LTD,,,,ERNAKULAM,682018,0.1,1,212505827,503
VIMLANGI PROJECTS PVT LTD,,,,GHAZIABAD,201009,0.1,1,212505826,504
TATA PROJECTS LIMITED,,,,HYDERABAD,500003,0.1,1,212505825,505
RHETORIC TECHNOLOGIES (P) LTD.,,,,JAIPUR,302022,0.1,1,212505824,506
AFCONS INFRASTRUCTURE LIMITED,,,,MUMBAI,400053,0.1,1,212505823,507
M/S TRIPURESWARI DEVELOPERS,,,,KAMRUP,781005,0.1,1,212505822,508
MFAR CONSTRUCTIONS PVT LTD,,,,BANGALORE,560034,0.1,1,212505821,509
JVUNL   RITES LTD.    MEHROTRA BUILDCON PVT LTD,,,,GAUTAM BUDH NAGAR,201301,0.1,1,212505820,510
M S GLOBE CIVIL -PREMIER INFRA JOINT VENTURE AND SUB CONTRACTORS,,,,NEW DELHI,110029,0.1,1,212505819,511
ORISSA WATER SUPPLY & SEWERAGE BOARD AND TATA PROJECTS LTD. & SSG INFRATECH PVT LTD (JV),,,,HYDERABAD,500003,0.1,1,212505818,512
AFCONS INFRASTRUCTURE LIMITED,,,,MUMBAI,400053,0.1,1,212505817,513
MFAR CONSTRUCTIONS PVT LTD,,,,BANGALORE,560034,0.1,1,212505816,514
ANGLO FRENCH DRUGS & INDUSTRIES LIMITED,,,,BANGALORE,560010,0.1,1,212505895,515
SAIMA ENTERPRISES,,,,NEW DELHI,110028,0.1,1,212505894,516
FISHER & PAYKEL HEALTHCARE INDIA PVT LTD,,,,BANGALORE,560064,0.1,1,212505893,517
DELPACK LOGISTICS,,,,GURGAON,122001,0.1,1,212505892,518
SUMERU GLOBAL TECHNOLOGIES PVT.LTD,,,,INDORE,452011,0.1,1,212505891,519
OMEGA GEN SERVICES,,,,GHAZIABAD,201010,0.1,1,212505890,520
WASTELAND ENTERTAINMENT PVT LTD.,,,,MUMBAI,400013,0.1,1,212505889,521
RELIANCE COURIER CARGO,,,,KAMRUP,781008,0.1,1,212505888,522
KALINGA EAST WEST SERVICES,,,,CUTTACK,754131,0.1,1,212505887,523
AADINATH ENTERPRISES,,,,THANE,421301,0.1,1,212505886,524
INDIGROW E-COMMERCE PVT LTD,,,,GURGAON,122001,0.1,1,212505885,525
D-CUBE ANALYTICS PRIVATE LIMITED,,,,BANGALORE,560037,0.1,1,212505884,526
MANGALATH ENTERPRISES,,,,THIRUVANANTHAPURAM,695584,0.1,1,212505883,527
AGREEYA SOLUTIONS INDIA PVT LTD,,,,GAUTAM BUDDHA NAGAR,201301,0.1,1,212505882,528
EV XPRESS,,,,BANGALORE,560056,0.1,1,212505881,529
MILLENNIUM SILICON SERVICES INDIA PRIVATE LIMITED,,,,GURGAON,122002,0.1,1,212505880,530
RAKS PHARMA PVT LTD,,,,VISAKHAPATNAM,531021,0.1,1,212505879,531
RUBAN BRIDGE PVT LTD,,,,BANGALORE,560070,0.1,1,212505878,532
ECCELLA CONSULTING AND SOFTWARE PVT.LTD.,,,,MUMBAI,400053,0.1,1,212505877,533
LANDMARK ONLINE INDIA PRIVATE LIMITED,,,,BANGALORE,560037,0.1,1,212505876,534
PHOENIX HUMAN CAPITAL PRIVATE LIMITED,,,,BANGALORE,560062,0.1,1,212505915,535
CPG BPM SERVICES PRIVATE LIMITED,,,,BANGALORE,560068,0.1,1,212505914,536
SQUAREPOINT TECHNOLOGIES INDIA PRIVATE LIMITED,,,,NEW DELHI,110030,0.1,1,212505913,537
RAHUL & PRANAV HOSPITALITIES LLP,,,,NASHIK,422010,0.1,1,212505912,538
CYGNI ENERGY PVT. LTD,,,,HYDERABAD,500033,0.1,1,212505911,539
ORRIS PHARMACEUTICALS,,,,KRISHNA,521108,0.1,1,212505910,540
M/S GLOBAL PERSONNEL SERVICES LLP,,,,PUNE,411006,0.1,1,212505909,541
4CRISK.AI SOFTWARE PRIVATE LIMITED,,,,BANGALORE,560102,0.1,1,212505908,542
QUILLBOT IT SERVICES PVT LTD.,,,,JAIPUR,302001,0.1,1,212505907,543
A2Z LOGISTICS,,,,AHMEDABAD,380061,0.1,1,212505906,544
BLUEBERRY IT SOLUTIONS CONSULTING LLP,,,,PUNE,411004,0.1,1,212505905,545
BHARAT PARENTERALS LIMITED,,,,VADODARA,390001,0.1,1,212505904,546
DOOR STEP LOGISTIC SERVICE,,,,BANGALORE,560001,0.1,1,212505903,547
ASHEESH WAREHOUSE,,,,JABALPUR,482001,0.1,1,212505902,548
M S TRANSPORTERS,,,,BANGALORE,560001,0.1,1,212505901,549
MMTC-PAMP INDIA PRIVATE LIMITED,,,,GURGAON,122103,0.1,1,212505900,550
C2C ENGINEERING PRIVATE LIMITED,,,,CHENNAI,600128,0.1,1,212505899,551
ARHAAN NETWORKING SOLUTIONS,,,,ADILABAD ,504001,0.1,1,212505898,552
ACG PAM PHARMA TECHNOLOGIES PVT LTD.,,,,MUMBAI,400102,0.1,1,212505897,553
STRATUS TECHNOLOGIES PRIVATE LIMITED,,,,MUMBAI,400063,0.1,1,212505896,554
WINJIT TECHNOLOGIES PRIVATE LIMITED,,,,NASHIK,422007,0.1,1,212506291,555
DILIGENT GLOBAL TECH CONSULTING PVT. LTD.,,,,HYDERABAD ,500081,0.1,1,212506290,556
MEDIAEDGE CIA INDIA PRIVATE LIMITED,,,,MUMBAI,400099,0.1,1,212506289,557
WTW GLOBAL DELIVERY AND SOLUTIONS INDIA PRIVATE LIMITED,,,,MUMBAI,400079,0.1,1,212506288,558
TRG ADVISORS INDIA PVT LTD,,,,MUMBAI,400051,0.1,1,212506287,559
PLASTECH FORMWORK SYSTEMS PRIVATE LIMITED,,,,BANGALORE,560086,0.1,1,212506286,560
INNOMICK TECHNOLOGY PRIVATE LIMITED,,,, HYDERABAD,500033,0.1,1,212506285,561
HEXAGON CAPABILITY CENTER INDIA PVT LTD,,,, HYDERABAD ,500081,0.1,1,212506284,562
ASIATIC PEST CONTROL SERVICES PRIVATE LIMITED,,,,ERNAKULAM,682016,0.1,1,212506283,563
INDIA YAMAHA MOTOR PRIVATE LIMITED,,,,NOIDA,201306,0.1,1,212506282,564
SESHASAYEE PAPER AND BOARDS LTD,,,,TIRUNELVELI,627601,0.1,1,212506281,565
INDIA YAMAHA MOTOR PRIVATE LIMITED,,,,KANCHIPURAM,602105,0.1,1,212506280,566
INDIA YAMAHA MOTOR PRIVATE LIMITED,,,,KANCHIPURAM,602105,0.1,1,212506279,567
NETAFIM IRRIGATION INDIA PRIVATE LIMITED,,,,VADODARA,391775,0.1,1,212506278,568
ORASI GLOBAL SERVICES INDIA PRIVATE LIMITED,,,, HYDERABAD,500081,0.1,1,212506277,569
LENOVO GLOBAL TECHNOLOGY (INDIA) PRIVATE LIMITED,,,,BANGALORE,560037,0.1,1,212506276,570
NAKODA CREATION,,,,AHMEDABAD,380001,0.1,1,212507306,571
IVA INITIATIVES,,,,BARODA,390020,0.1,1,212507304,572
MS GARHA BHANDARS,,,,LUCKNOW,226005,0.1,1,212507303,573
MS GARHA BHANDAR AND SONS,,,,LUCKNOW,226005,0.1,1,212507302,574
PRITAM DILIP REWATKAR,,,,NAGPUR,441302,0.1,1,212507301,575
MEGHA ENTERPRISES,,,,NAGPUR,441302,0.1,1,212507300,576
MAHENDRA MADHAORAO WASADE,,,,NAGPUR,441301,0.1,1,212507305,577
GRAINSPAN NUTRIENTS PRIVATE LIMITED,,,,AHMEDABAD,380058,0.1,1,212507315,578
NB CONSTRUCTIONS PVT LTD,,,,GURGAON,122009,0.1,1,212507314,579
S-GEN CONSORTIUM INFRA PVT. LTD,,,,BARDDHAMAN,713101,0.1,1,212507313,580
ADROIT STRUCTURAL ENGINEERS PVT LTD,,,,VADODARA,390007,0.1,1,212507312,581
RITES LTD,,,,KOPPAL,583227,0.1,1,212507311,582
KEYSTONE SOLUTIONS,,,,NEW DELHI,110070,0.1,1,212507310,583
SARA INTERIORS PVT. LTD.,,,,MUMBAI,400025,0.1,1,212507309,584
TREXO FAB INDUSTRIES,,,,SURAT,395010,0.1,1,212507308,585
B L PHARMACEUTICALS,,,,LUCKNOW,226018,0.1,1,212507307,586
SACHIN TRADERS,,,,NAGPUR,441302,0.1,1,212507299,587
S.R. ENTERPRISES,,,,NAGPUR,441302,0.1,1,212507298,588
M/S DEMARTE SILK &AMP; SAREES,,,,LUDHIANA,141001,0.1,1,212507297,589
JAMAL CONSTRUCTION COMPANY PVT LTD,,,,AURANGABAD,431005,0.1,1,212507296,590
AHUJA TECHNO BUILD PVT LTD,,,,GAUTAM BUDDHA NAGAR,201301,0.1,1,212507155,591
ACE FACILITY MANAGEMENT PVT LTD,,,,DELHI,110044,0.1,1,212507154,592
MAHI CONSTRUCTION,,,,NEEMUCH,458667,0.1,1,212507153,593
MANSI ENTERPRISES,,,,PUNE,411041,0.1,1,212507152,594
